177	272.82835	250.59758	245.62628	275.65168	291.7036
178	268.65813	249.38589	242.83951	275.72057	293.09493
179	268.47624	253.87781	242.95614	277.6063	294.4191
180	263.29525	257.0912	241.10325	278.97648	296.70653
181	262.02642	260.26076	242.50374	279.73399	299.0462
182	261.91312	264.01709	244.80926	284.39629	298.25074
183	264.25848	268.1729	244.17079	285.30123	296.914
184	263.89161	269.72047	250.84495	284.08528	299.22005
185	266.89677	271.93531	252.66832	286.67012	299.58655
186	267.51143	274.18827	257.70999	282.79277	301.08576
187	270.34823	271.63904	264.81022	288.12649	299.38605
188	273.7937	271.61341	267.31421	286.55747	299.66044
189	278.10207	270.26924	270.28723	286.22004	299.5185
190	277.24048	268.05283	267.36925	287.65364	298.69776
191	280.2027	264.3744	270.23181	287.00131	301.38012
192	279.82222	264.88825	267.38238	287.47632	300.65937
193	280.5736	265.68537	268.74386	285.12572	303.93153
194	280.45972	264.42152	262.84951	283.83724	302.37386
195	276.6927	265.15898	260.92182	283.84691	307.2034
196	275.39284	263.68651	259.44161	287.66102	304.90301
197	273.76657	260.69092	258.49122	288.0862	308.585
198	274.98731	262.60426	256.85261	288.89686	310.57716
199	271.02843	265.9203	256.60755	286.36952	309.17942
200	268.0461	267.28877	255.31345	286.33466	311.74152
201	268.0002	268.124	258.36043	286.79734	313.60561
202	269.90218	272.23935	259.57676	288.84532	313.23717
203	270.1567	275.3981	261.7036	292.29245	314.94456
204	277.07193	276.22436	262.64325	289.42879	309.63
205	276.15451	272.05901	265.72765	290.7011	315.6866
206	278.00545	274.36713	268.04122	291.77124	317.52454
207	280.92388	275.79887	270.73641	290.64644	315.82089
208	285.47367	276.50746	266.02666	293.56051	314.52067
209	287.26002	272.86099	269.15291	290.23601	318.34142
210	290.5858	272.22348	267.81024	290.89748	317.55535
211	289.65866	270.14486	267.08624	290.24728	314.89018
212	286.86442	270.73806	269.23901	291.96291	315.06365
213	287.19893	270.17461	266.80011	292.59666	318.41355
214	285.87804	269.57513	267.73362	291.55154	316.46038
215	283.98641	268.49275	264.59434	294.86031	316.36167
216	282.53957	269.15601	266.08207	291.40724	321.87448
217	281.74539	269.54201	265.69387	296.95097	323.19789
218	277.87628	270.09431	263.11043	296.36582	323.72674
219	281.25396	272.10232	266.34801	297.23359	320.5022
220	277.36338	270.9338	267.91882	297.86045	324.4569
221	278.17206	276.82172	268.48529	302.29661	322.9384
222	282.28843	274.11435	268.06819	300.69892	322.43237
223	284.3198	274.4931	271.56343	300.82993	321.80596
224	285.78077	275.80705	269.84516	303.0961	322.30075
225	287.21461	278.83978	271.47484	302.91778	323.0555
226	289.44	276.16138	273.42617	304.44331	319.96069
227	290.53656	277.19986	273.96483	299.13482	320.61507
228	292.35642	274.10824	273.9004	299.12544	323.929
229	292.218	272.79446	273.43907	300.68715	321.86588
230	291.49733	272.76358	277.00482	300.38438	322.77547
231	292.35051	276.46776	275.54363	299.90432	325.54123
232	293.06491	275.10024	274.62579	299.50216	324.88168
233	289.50944	275.28061	272.85468	300.64677	328.40855
234	288.31671	275.36125	277.30428	300.57818	327.01564
235	286.63653	273.01737	278.38895	298.66022	328.97184
236	288.76707	273.5686	273.18244	300.19827	326.81868
237	283.76789	277.43725	276.4863	301.22036	324.84651
238	284.83535	281.99876	275.10568	301.91801	327.75365
239	287.88007	277.67876	275.49646	302.3912	328.52607
240	287.52481	279.39239	275.07482	305.37926	327.61226
241	289.1673	279.4885	277.06144	303.78614	330.21768
242	290.01371	281.99203	277.56767	302.28196	328.71216
243	291.35801	280.96279	278.50843	303.53073	329.75978
244	293.74032	281.32369	280.51338	305.25332	331.20947
245	296.12442	283.48108	281.80102	303.68935	328.64301
246	297.04922	282.83964	281.03395	304.84495	328.52606
247	295.14895	279.25583	282.89043	303.19644	331.80537
248	295.00601	277.44734	284.91248	304.87965	327.43623
249	294.96126	279.51505	287.63676	301.7379	326.98829
250	292.6929	281.28934	285.71103	299.91084	327.83915
251	292.92507	281.29438	287.54456	301.60992	328.63539
252	286.43757	280.55968	284.13802	300.94452	329.71388
253	288.86816	276.07394	287.4709	303.17999	331.27569
254	287.40536	277.62446	284.50486	306.94919	330.6929
255	287.23229	276.44006	282.95834	307.255	328.9329
256	287.17879	276.05268	287.12929	306.34312	331.60465
257	287.01944	276.38639	289.25203	310.95909	333.98983
258	285.80111	277.67176	286.96422	309.66253	332.28354
259	287.40296	281.10016	289.8647	308.36872	336.6639
260	289.78075	280.43189	290.68193	311.01753	338.76373
261	288.71916	280.05719	289.33889	310.60193	339.41061
262	291.2664	281.05815	289.12586	309.93295	339.46736
263	293.25459	283.70782	290.21508	309.28828	339.46515
264	297.85562	284.06523	286.26089	310.2283	340.25928
265	297.73525	285.74787	290.26166	310.70858	340.38989
266	299.85855	284.91054	291.23297	308.05991	339.04113
267	297.6557	284.31099	293.22685	314.20455	338.49466
268	298.85204	285.6989	288.79738	313.08021	339.88732
269	297.19613	283.4466	291.04487	310.72643	343.495
270	299.25319	284.56425	289.9794	311.4487	344.35802
271	297.28599	283.78704	290.1426	312.53647	345.33532
272	295.23285	284.77538	289.66019	313.88374	344.49558
273	292.94486	282.6994	293.41218	317.2557	343.13073
274	293.2215	282.56298	292.38894	319.10872	343.77677
