249 61 462
250 59 463
251 63 460
252 64 456
253 64 448
254 63 460
255 61 469
256 58 464
257 59 465
258 56 468
259 58 465
260 60 471
261 68 475
262 71 469
263 68 461
264 66 460
265 65 459
266 70 460
267 69 455
268 71 455
269 73 447
270 73 451
271 66 460
272 68 462
273 68 469
274 68 458
275 61 461
276 64 463
277 63 459
278 64 457
279 67 462
280 67 463
281 70 456
282 71 460
283 72 464
284 71 465
285 70 468
286 72 456
287 76 449
288 76 457
289 75 460
290 80 469
291 80 458
292 83 458
293 82 463
294 74 467
295 79 472
296 79 471
297 77 465
298 76 469
299 78 468
300 81 468
301 72 477
302 71 469
303 72 467
304 73 472
305 74 464
306 76 468
307 72 462
308 73 464
309 77 453
310 83 452
311 79 464
312 77 460
313 84 462
314 78 462
315 78 464
316 82 469
317 85 468
318 76 471
319 81 475
320 77 469
321 78 475
322 75 487
323 81 477
324 84 473
325 84 466
326 80 466
327 89 461
328 90 471
329 89 468
330 91 475
331 94 468
332 89 469
333 95 483
334 92 481
335 91 489
336 88 482
337 91 493
338 84 494
339 85 488
340 92 486
341 92 495
342 87 500
343 91 498
344 95 501
345 92 494
346 94 502
347 92 507
348 95 497
349 87 504
350 93 498
351 93 497
352 91 486
353 99 485
354 94 492
355 91 493
356 90 503
357 98 487
358 99 483
359 99 478
360 101 475
361 97 482
362 100 489
363 99 486
364 103 482
365 106 487
366 99 494
367 103 500
368 100 491
369 97 486
370 98 485
371 96 489
372 94 499
373 96 489
374 97 486
375 95 492
376 97 497
377 99 492
378 98 501
379 95 501
380 97 493
381 98 502
382 102 491
383 103 495
384 108 484
385 103 490
386 105 495
387 106 499
388 105 498
389 108 499
390 109 498
391 108 495
392 107 508
393 106 506
394 106 502
395 108 504
396 103 512
397 107 501
398 110 507
399 112 503
400 115 509
401 113 510
402 111 510
403 113 506
404 117 507
405 115 499
406 112 502
407 120 494
408 123 503
409 125 499
410 122 496
411 123 497
412 117 499
413 119 508
414 114 509
415 122 515
416 121 504
417 115 512
418 115 512
419 117 511
420 120 509
421 120 505
422 115 501
423 112 509
424 113 511
425 118 515
426 114 517
427 117 512
428 114 518
429 118 516
430 116 518
431 115 516
432 113 513
433 115 522
434 122 520
435 122 514
436 128 518
437 125 506
438 123 508
439 125 516
440 131 516
441 128 521
442 133 516
443 130 521
444 132 514
445 134 505
446 136 508
447 135 513
448 130 527
449 129 519
450 130 525
451 133 524
452 129 526
453 130 527
454 130 529
455 130 522
456 133 524
457 134 519
458 129 530
459 121 537
460 125 533
461 129 530
462 125 527
463 124 532
464 129 536
465 127 531
466 131 530
467 125 533
468 125 531
469 129 525
470 132 529
471 128 525
472 130 519
473 130 516
474 126 518
475 128 520
476 130 518
477 131 510
478 130 508
479 131 511
480 131 507
481 128 512
482 134 515
483 133 518
484 137 511
485 138 511
486 135 523
487 131 520
488 136 525
489 135 516
490 141 525
491 133 521
492 135 524
493 136 519
494 136 517
495 141 519
496 138 531
497 138 524
498 136 535
499 136 539
500 135 535
501 133 528
502 130 538
503 133 545
504 137 544
505 133 548
506 140 544
507 139 544
508 138 545
509 137 557
510 143 554
511 137 555
512 143 555
513 144 549
514 136 557
515 137 557
516 140 563
517 140 549
518 139 545
519 145 549
520 146 546
521 148 545
522 149 535
523 149 536
524 145 529
525 141 535
526 148 539
527 148 533
528 149 542
529 148 544
530 147 554
531 145 557
532 147 551
533 145 555
534 147 545
535 149 541
536 152 545
537 144 545
538 145 542
539 149 535
540 151 543
541 151 541
542 149 544
543 149 542
544 148 544
545 152 538
546 151 539
547 149 540
548 155 550
549 149 551
550 154 550
